mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
cachegen_disk,1772771595.5037,1772772006.608365,0.1268,0.0322,0.0322,0.3356,,486.13096499443054,75.0262999534607
cachegen_disk,1772771595.5466,1772772007.1850362,0.1785,0.0425,0.0425,0.4667,,486.7076361179352,75.06920003890991
cachegen_disk,1772771595.6907,1772772007.2261257,0.0972,0.0425,0.0425,0.4006,,486.7487256526947,75.21329998970032
cachegen_disk,1772771595.7037,1772772007.331663,0.104,0.0951,0.0951,0.3461,,486.8542628288269,75.22630000114441
cachegen_disk,1772771595.7112,1772772007.676173,0.1412,0.0381,0.0381,0.4103,,487.1987729072571,75.2337999343872
cachegen_disk,1772771596.184,1772772008.3832011,0.4245,0.0059,0.0059,0.4393,,487.90580105781555,75.7065999507904
cachegen_disk,1772771596.1751,1772772008.4147253,0.1864,0.3976,0.3976,0.6559,,487.9373252391815,75.69770002365112
cachegen_disk,1772771596.1228,1772772008.42285,0.1025,0.39,0.39,0.8297,,487.94544982910156,75.64540004730225
cachegen_disk,1772771596.2306,1772772009.1256392,0.087,0.1165,0.1165,0.5489,,488.6482391357422,75.7532000541687
cachegen_disk,1772771596.3068,1772772009.3200474,0.1963,,,0.206,,488.84264731407166,75.82939982414246
cachegen_disk,1772771596.2339,1772772009.5534115,0.1638,0.1171,0.1171,0.6973,,489.07601141929626,75.75650000572205
cachegen_disk,1772771596.3123,1772772009.6438298,0.1157,0.0218,0.0218,0.3514,,489.1664297580719,75.83489990234375
cachegen_disk,1772771596.326,1772772010.0051007,0.1031,0.0456,0.0456,0.3697,,489.5277006626129,75.84859991073608
cachegen_disk,1772771596.3802,1772772010.2132993,,,,0.1948,,489.7358992099762,75.90279984474182
cachegen_disk,1772771596.4328,1772772010.3522527,,,,0.17,,489.8748526573181,75.95539999008179
cachegen_disk,1772771596.3756,1772772010.4420283,0.1028,0.1119,0.1119,0.5623,,489.9646282196045,75.89820003509521
cachegen_disk,1772771596.4428,1772772010.835739,0.1058,0.0905,0.0905,0.4326,,490.3583388328552,75.96539998054504
cachegen_disk,1772771596.4477,1772772011.081755,0.1645,0.0643,0.0643,0.4634,,490.60435485839844,75.97029995918274
cachegen_disk,1772771596.459,1772772011.2116435,0.1099,0.0455,0.0455,0.4061,,490.73424339294434,75.98160004615784
cachegen_disk,1772771596.4698,1772772011.6020427,0.1125,0.1954,0.1954,0.5668,,491.1246426105499,75.99239993095398
cachegen_disk,1772771596.5249,1772772011.7836664,0.2812,0.0394,0.0394,0.5633,,491.3062663078308,76.04749989509583
cachegen_disk,1772771596.5304,1772772011.9604075,0.1472,0.063,0.063,0.4303,,491.4830074310303,76.05299997329712
cachegen_disk,1772771596.5895,1772772012.0792007,0.0843,0.0201,0.0201,0.3083,,491.6018006801605,76.11209988594055
cachegen_disk,1772771596.596,1772772012.6104796,0.0797,0.0387,0.0387,0.3831,,492.1330795288086,76.1185998916626
cachegen_disk,1772771596.6071,1772772013.2280564,0.119,0.1785,0.1785,0.8252,,492.75065636634827,76.12969994544983
cachegen_disk,1772771596.6171,1772772013.3356872,0.2815,0.1552,0.1552,0.7679,,492.85828709602356,76.13969993591309
cachegen_disk,1772771596.6632,1772772013.3916903,0.1562,0.1552,0.1552,0.6554,,492.91429018974304,76.18579983711243
cachegen_disk,1772771596.6775,1772772013.9963686,0.1541,0.4052,0.4052,0.9532,,493.5189685821533,76.20009994506836
cachegen_disk,1772771596.8203,1772772014.1588428,0.4121,0.0147,0.0147,0.4563,,493.68144273757935,76.3429000377655
cachegen_disk,1772771596.6694,1772772014.1589715,0.2516,0.4212,0.4212,1.125,,493.68157148361206,76.19199991226196
cachegen_disk,1772771596.7206,1772772014.1655328,0.6609,0.0059,0.0059,0.6884,,493.68813276290894,76.24319982528687
cachegen_disk,1772771596.8309,1772772014.614255,0.0947,0.0224,0.0224,0.3234,,494.13685488700867,76.35349988937378
cachegen_disk,1772771596.8361,1772772014.8219817,,,,0.2463,,494.3445816040039,76.35870003700256
cachegen_disk,1772771596.8896,1772772015.7041419,0.22,0.1893,0.1893,0.874,,495.2267417907715,76.41219997406006
cachegen_disk,1772771596.8963,1772772015.9085393,0.2806,0.154,0.154,0.8459,,495.43113923072815,76.41890001296997
cachegen_disk,1772771596.9047,1772772015.9097536,0.3224,0.0882,0.0882,0.7135,,495.4323534965515,76.42729997634888
cachegen_disk,1772771596.9132,1772772015.9632525,0.1839,0.0885,0.0885,0.5706,,495.4858524799347,76.43579983711243
cachegen_disk,1772771596.9607,1772772016.0054991,0.124,0.0941,0.0941,0.5254,,495.5280990600586,76.48329997062683
cachegen_disk,1772771596.9678,1772772016.1035118,0.1732,0.0429,0.0429,0.464,,495.62611174583435,76.4903998374939
