mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native,1772596796.6438,1772596822.275556,,,,0.176,,202.6662561893463,177.0345001220703
native,1772596796.2619,1772596822.511905,0.0815,0.1252,0.1252,0.7845,,202.9026050567627,176.65260004997253
native,1772596796.8592,1772596822.7473197,0.2147,,,0.3117,,203.13801980018616,177.24990010261536
native,1772596796.3961,1772596822.9169788,0.1895,0.111,0.111,1.0447,,203.307678937912,176.7868001461029
native,1772596796.5073,1772596822.9400537,0.1776,0.1111,0.1111,0.9571,,203.33075380325317,176.89800000190735
native,1772596796.6787,1772596823.2464302,0.1945,0.1389,0.1389,1.0361,,203.63713026046753,177.06940007209778
native,1772596796.7661,1772596823.276008,0.2077,0.139,0.139,0.954,,203.6667079925537,177.156800031662
native,1772596796.9823,1772596823.5772264,0.2074,0.1461,0.1461,1.0208,,203.96792650222778,177.3730001449585
native,1772596797.7605,1772596823.78699,,,,0.3049,,204.1776900291443,178.15120005607605
native,1772596797.059,1772596823.797017,0.2037,0.1621,0.1621,1.0989,,204.18771719932556,177.4497001171112
native,1772596797.1609,1772596823.9449866,0.1173,0.1617,0.1617,1.1364,,204.33568668365479,177.5516002178192
native,1772596797.2613,1772596824.2088993,0.1895,0.1632,0.1632,1.2935,,204.59959936141968,177.65200018882751
native,1772596797.3601,1772596824.3435872,0.2387,0.1622,0.1622,1.323,,204.7342872619629,177.75080013275146
native,1772596798.47,1772596824.3992927,,,,0.1194,,204.78999280929565,178.86070013046265
native,1772596797.461,1772596824.4175293,0.2833,0.1622,0.1622,1.2725,,204.80822944641113,177.85170006752014
native,1772596797.5694,1772596824.433643,0.1857,0.1621,0.1621,1.178,,204.8243432044983,177.9601001739502
native,1772596797.6615,1772596824.5466049,0.2283,0.1605,0.1605,1.1956,,204.9373049736023,178.05220007896423
native,1772596797.8603,1772596824.7402072,0.3593,0.136,0.136,1.1408,,205.1309072971344,178.25100016593933
native,1772596797.96,1772596824.7443855,0.2499,0.1357,0.1357,1.0304,,205.13508558273315,178.3507001399994
native,1772596798.0597,1772596824.7658324,0.2435,0.118,0.118,0.9149,,205.15653252601624,178.45040011405945
native,1772596798.1678,1772596824.873039,0.2571,0.1163,0.1163,0.922,,205.2637391090393,178.5585000514984
native,1772596798.2595,1772596824.8963852,0.2668,0.1117,0.1117,0.8339,,205.2870852947235,178.6502001285553
native,1772596798.3767,1772596824.9974449,0.1708,0.1131,0.1131,0.8265,,205.38814496994019,178.7674000263214
native,1772596798.959,1772596825.0211358,,,,0.1749,,205.41183590888977,179.34970021247864
native,1772596798.5722,1772596825.244177,0.1751,0.1348,0.1348,0.8514,,205.63487720489502,178.96290016174316
native,1772596798.6702,1772596825.2932436,0.1872,0.1361,0.1361,0.7709,,205.68394374847412,179.06090021133423
native,1772596798.76,1772596825.316129,0.1047,0.1353,0.1353,0.6909,,205.70682907104492,179.15070009231567
native,1772596798.8595,1772596825.376877,0.1595,0.1358,0.1358,0.6451,,205.76757717132568,179.25020003318787
native,1772596799.0593,1772596825.4438334,0.2334,0.0414,0.0414,0.4977,,205.83453345298767,179.45000004768372
native,1772596799.1653,1772596825.5867975,0.1549,0.123,0.123,0.5158,,205.97749757766724,179.55599999427795
native,1772596799.386,1772596825.77005,0.0853,0.1231,0.1231,0.4496,,206.16075015068054,179.77670001983643
native,1772596799.4765,1772596826.047717,0.1841,0.1139,0.1139,0.6222,,206.4384171962738,179.8672001361847
native,1772596799.5593,1772596826.0853076,0.1081,0.1149,0.1149,0.5406,,206.47600769996643,179.95000004768372
native,1772596799.6595,1772596826.1448593,0.0664,0.1141,0.1141,0.4963,,206.53555941581726,180.05019998550415
